player_full,web_name,team_name,player_fbref
Benjamin White,White,Arsenal,Ben White
David Raya Martín,Raya,Arsenal,David Raya
Fábio Ferreira Vieira,Fábio Vieira,Arsenal,Fabio Vieira
Gabriel Fernando de Jesus,G.Jesus,Arsenal, Fabio Vieira
Gabriel Martinelli Silva,Martinelli,Arsenal,Gabriel Martinelli
Gabriel dos Santos Magalhães,Gabriel,Arsenal,Gabriel Magalhães
Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,Kepa Arrizabalaga
Martín Zubimendi Ibáñez,Zubimendi,Arsenal,
Mikel Merino Zazón,Merino,Arsenal,Mikel Merino
Emiliano Buendía Stati,Buendía,Aston Villa,Emi Buendía
Emiliano Martínez Romero,Martinez,Aston Villa,Emiliano Martínez
Ezri Konsa Ngoyo,Konsa,Aston Villa,Ezri Konsa
Álex Moreno Lopera,Alex Moreno,Aston Villa,Álex Moreno
Francisco Evanilson de Lima Barbosa,Evanilson,Bournemouth,Evanilson
Hamed Traorè,H.Traorè,Bournemouth,Hamed Junior Traorè
Julián Araujo Zúñiga,J.Araujo,Bournemouth,Julian Araujo
Luis Sinisterra Lucumí,Sinisterra,Bournemouth,Luis Sinisterra
Marcos Senesi Barón,Senesi,Bournemouth,Marcos Senesi
Matai Akinmboni,Akinmboni,Bournemouth,
Norberto Murara Neto,Neto,Bournemouth,Neto
Fábio Freitas Gouveia Carvalho,Carvalho,Brentford,Fabio Carvalho
Gustavo Nunes Fernandes Gomes,Nunes,Brentford,Gustavo Nunes
Igor Thiago Nascimento Rodrigues,Thiago,Brentford,Thiago
Mads Roerslev Rasmussen,Roerslev,Brentford,Mads Roerslev
Paris Maghoma,Maghoma,Brentford,Edmond-Paris Maghoma
Igor Julio dos Santos de Paulo,Igor,Brighton,Igor
Jeremy Sarmiento Morante,Sarmiento,Brighton,Jeremy Sarmiento
Julio Enciso Espínola,Enciso,Brighton,Julio Enciso
Mitoma Kaoru,Mitoma,Brighton,Kaoru Mitoma
Pervis Estupiñán Tenorio,Estupiñan,Brighton,Pervis Estupiñán
Manuel Benson Hedilazio,Benson,Burnley,Benson Manuel
Mike Trésor Ndayishimiye,Trésor,Burnley,Mike Trésor
Andrey Nascimento dos Santos,Andrey Santos,Chelsea,Andrey Santos
Benoît Badiashile Mukinayi,B.Badiashile,Chelsea,Benoît Badiashile
Gabriel Słonina,Slonina,Chelsea,
Jamie Bynoe-Gittens,Gittens,Chelsea,
João Pedro Junqueira de Jesus,João Pedro,Chelsea,João Pedro
Kendry Páez Andrade,Paez,Chelsea,
Levi Samuels Colwill,Colwill,Chelsea,Levi Colwill
Marc Cucurella Saseta,Cucurella,Chelsea,Marc Cucurella
Moisés Caicedo Corozo,Caicedo,Chelsea,Moisés Caicedo
Pedro Lomba Neto,Neto,Chelsea,Pedro Neto
Robert Lynch Sánchez,Sánchez,Chelsea,Robert Sánchez
Chadi Riad Dnanou,Chadi Riad,Crystal Palace,Chadi Riad
Daniel Muñoz Mejía,Muñoz,Crystal Palace,Daniel Muñoz
Franco Umeh-Chibueze,Umeh,Crystal Palace,
Jefferson Lerma Solís,Lerma,Crystal Palace,Jefferson Lerma
Matheus França de Oliveira,M.França,Crystal Palace,Matheus França
Carlos Alcaraz Durán,Alcaraz,Everton,Carlos Alcaraz
Norberto Bercique Gomes Betuncal,Beto,Everton,Beto
Youssef Ramalho Chermiti,Y.Chermiti,Everton,Youssef Chermiti
Adama Traoré Diarra,Adama,Fulham,Adama Traoré
Andreas Hoelgebaum Pereira,Andreas,Fulham,Andreas Pereira
Jorge Cuenca Barreno,J.Cuenca,Fulham,Jorge Cuenca
Raúl Jiménez Rodríguez,Raúl,Fulham,Raúl Jiménez
Rodrigo Muniz Carvalho,Muniz,Fulham,Rodrigo Muniz
Sebastiaan Bornauw,Bornauw,Leeds,
Alisson Becker,A.Becker,Liverpool,Alisson
Darwin Núñez Ribeiro,Darwin,Liverpool,Darwin Núñez
Endo Wataru,Endo,Liverpool,Wataru Endo
Florian Wirtz,Wirtz,Liverpool, Florian Wirtz
Konstantinos Tsimikas,Tsimikas,Liverpool,Kostas Tsimikas
Luis Díaz Marulanda,Luis Díaz,Liverpool,Luis Díaz
Stefan Bajčetić Maquieira,Bajcetic,Liverpool,Stefan Bajcetic
Bernardo Mota Veiga de Carvalho e Silva,Bernardo,Man City,Bernardo Silva
Ederson Santana de Moraes,Ederson M.,Man City,Ederson
Rúben dos Santos Gato Alves Dias,Rúben,Man City,Rúben Dias
Stefan Ortega Moreno,Ortega Moreno,Man City,Stefan Ortega
Sávio Moreira de Oliveira,Savinho,Man City,Sávio
Alejandro Garnacho Ferreyra,Garnacho,Man Utd,Alejandro Garnacho
Antony dos Santos,Antony,Man Utd,Antony
Bruno Borges Fernandes,B.Fernandes,Man Utd,Bruno Fernandes
Carlos Henrique Casimiro,Casemiro,Man Utd,Casemiro
Diogo Dalot Teixeira,Dalot,Man Utd,Diogo Dalot
Matheus Santos Carneiro da Cunha,Cunha,Man Utd,Matheus Cunha
Antoñito Cordero Campillo,Antoñito C.,Newcastle,
Bruno Guimarães Rodriguez Moura,Bruno G.,Newcastle,Bruno Guimarães
Joelinton Cássio Apolinário de Lira,Joelinton,Newcastle,Joelinton
Tino Livramento,Livramento,Newcastle,Valentino Livramento
Carlos Miguel dos Santos Pereira,C.Miguel,Nott'm Forest,
